Industry,Gender,Education,Avg_Salary
"Entrepreneur high net worth ",Woman,"High School",46000.00
Library,Other,"Master's degree",46150.00
Surveying,Man,"College degree",46280.00
"Social Work",Woman,"College degree",46465.00
"Science ",Man,PhD,46498.00
"Government and Public Administration",Non-binary,"College degree",46710.32
"Career & Technical Training",Woman,"Master's degree",46800.00
Academic,Woman,"Master's degree",46887.36
Unknown,Man,"High School",47000.00
Nonprofits,Man,"High School",47000.00
"Energy - Oil and Gas",Man,"High School",47000.00
E-learning,Woman,"Master's degree",47000.00
"Book publishing",Woman,"Master's degree",47033.33
Retail,Woman,"High School",47290.41
Journalism,Man,"College degree",47500.00
"Bioscience Company",Woman,"College degree",47500.00
"Landscape Contracting",Woman,"College degree",47840.00
Environmental,Woman,"High School",47840.00
Research,Man,"College degree",47840.00
"Education (Primary/Secondary)",Man,"College degree",47896.94
"Chemical Manufacturing",Woman,"College degree",47902.00
"Laboratory research",Woman,"College degree",48000.00
"Shared office space",Woman,"College degree",48000.00
"Education (Higher Education)",Non-binary,"High School",48000.00
Archaeology,Man,"College degree",48000.00
"Education (Primary/Secondary)",Man,"Professional degree (MD, JD, etc)",48000.00
Rideshare,Woman,"College degree",48000.00
"Soft Drinks Manufacturing ",Man,"High School",48000.00
Translation,Man,"College degree",48000.00
Insurance,Non-binary,"Master's degree",48630.00
Architecture,Other,"College degree",48880.00
Biotech,Non-binary,"College degree",49000.00
Mortgage,Woman,"High School",49000.00
"Animal Welfare",Woman,"College degree",49132.33
Environmental,Woman,"College degree",49211.43
"Social Work",Man,"College degree",49320.00
Insurance,Non-binary,"College degree",49364.86
"Hybrid Nonprofit Higher Education (we are part of a university but our entire budget comes from grants)",Woman,"Master's degree",49500.00
Religion,Woman,"College degree",49500.00
Law,Other,"Master's degree",49550.00
"Library ",Woman,"Master's degree",49727.00
Nonprofits,Non-binary,"College degree",49757.37
"Staffing agency",Man,PhD,49975.00
Wholesale,Woman,"High School",50000.00
Consulting,Non-binary,"College degree",50000.00
"Grocery Distribution",Woman,"College degree",50000.00
Church,Man,"Master's degree",50000.00
"Wealth advisor Research",Woman,"Master's degree",50000.00
"Natural Resources",Woman,"College degree",50000.00
Mortgage,Woman,"College degree",50000.00
Automotive,Woman,"High School",50000.00
Unknown,Woman,"Professional degree (MD, JD, etc)",50000.00
"Clean energy",Man,"Master's degree",50000.00
"Utilities & Telecommunications",Non-binary,"Master's degree",50000.00
"E-Commerce ",Woman,"Professional degree (MD, JD, etc)",50000.00
"Education (Higher Education)",Woman,"High School",50080.00
"E-Commerce ",Woman,"Master's degree",50083.33
"Education (Primary/Secondary)",Non-binary,"College degree",50091.11
Research,Woman,"College degree",50145.41
Fitness,Woman,"College degree",50200.00
"Public Health Research",Man,"Master's degree",50500.00
Horticulture,Woman,"High School",50600.00
"Education (Primary/Secondary)",Woman,"College degree",50917.72
"Accounting, Banking & Finance",Non-binary,"College degree",50962.78
"Content Review",Man,"College degree",51000.00
"Payroll Software",Woman,"College degree",51001.00
Law,Non-binary,"College degree",51072.00
Museum,Man,"College degree",51150.00
"Property or Construction",Woman,"High School",51196.62
Automotive,Man,"Master's degree",51500.00
Publishing,Non-binary,"College degree",51500.00
"Utilities & Telecommunications",Non-binary,"College degree",51990.20
"Workforce development ",Woman,"Master's degree",52000.00
"Summer camp",Woman,"College degree",52000.00
"Product Management",Woman,"College degree",52000.00
"Instructional Design",Woman,"Master's degree",52000.00
"Art & Design",Man,"High School",52166.67
"Oilfield adjacent",Woman,"College degree",52234.00
"Law Enforcement & Security",Woman,"Master's degree",52333.33
Aviation,Woman,"College degree",52400.00
"Patent translation",Woman,"College degree",52500.00
